fid,flooded_sum,cfevi_norm
1,1,0
2,5,0.0311268873890356
3,5,0.0155634436945178
4,1,0.124507549556142
5,1,0.116725827708883
6,4,0.07003549662533
7,1,0
8,13,0.101162384014366
9,12,0.28014198650132
10,1,0.0855989403198478
11,1,0.194543046181472
12,1,0.362409765888523
13,1,0.0155634436945178
14,1,0.181897748179677
15,1,0.00778172184725889
16,3,0.108944105861624
17,2,0.0233451655417767
18,7,0
19,1,0
20,1,0.167093955324978
21,2,0
22,1,0
23,1,0
24,1,0
25,2,0
26,1,0
27,3,0.0466903310835534
28,2,0
29,3,0
30,3,0.00778172184725889
31,2,0.0311268873890356
32,2,0
33,1,0.0680900661635153
34,2,0
35,1,0
36,2,0.0956325756732998
37,3,0
38,1,0
39,2,0
40,1,0.00778172184725889
41,1,0.0622537747780711
42,6,0
43,1,0.0544720529308122
44,1,0.0544720529308122
45,1,0
46,2,0
47,1,0.114060898962768
48,3,0.0233451655417767
49,1,0
50,3,0
51,1,0
52,1,0.0233451655417767
53,1,0
54,5,0.0855989403198478
55,1,0
56,2,0
57,5,0
58,5,0
59,1,0.00778172184725889
60,11,0
61,5,0
62,3,0
63,1,0
64,1,0.0311268873890356
65,1,0
66,4,0
67,2,0.07003549662533
68,9,0
69,2,0.217888211723249
70,5,0.0155634436945178
71,1,0
72,3,0.0622537747780711
73,2,0
74,1,0.163416158792437
75,2,0
76,1,0
77,6,0
78,3,0
79,1,0.00778172184725889
80,3,0
81,3,0
82,2,0
83,2,0.0311268873890356
84,10,0
85,8,0.0340450330817577
86,3,0.00778172184725889
87,1,0
88,2,0.14007099325066
89,3,0
90,9,0.0145907284636104
91,1,0
92,8,0
93,3,0
94,5,0
95,1,0
96,3,0
97,4,0
98,4,0.0311268873890356
99,4,0.0389086092362945
100,1,0
101,2,0
102,3,0
103,1,0
104,1,0
105,5,0
106,2,0.0544720529308122
107,5,0.0544720529308122
108,1,0.0544720529308122
109,1,0
110,2,0
111,10,0.0544720529308122
112,10,0.202324768028731
113,1,0
114,3,0
115,2,0
116,4,0
117,1,0
118,1,0
119,9,0
120,20,0.233451655417767
121,7,0.101162384014366
122,6,0.365740926821168
123,5,0.0622537747780711
124,1,0
125,1,0
126,2,0.0389086092362945
127,4,0
128,2,0
129,5,0
130,11,0.0778172184725889
131,1,0.0311268873890356
132,17,0.256796820959543
133,1,0.155634436945178
134,1,0
135,1,0
136,3,0
137,1,0
138,2,0
139,5,0
140,7,0
141,3,0
142,1,0
143,1,0
144,8,0
145,1,0
146,5,0
147,1,0
148,7,0
149,1,0.0233451655417767
150,1,0
151,2,0
152,1,0.0155634436945178
153,4,0.0139244962770815
154,1,0
155,4,0.0778172184725889
156,1,0.00778172184725889
157,2,0
158,1,0
159,5,0.108944105861624
160,3,0
161,10,0.116725827708883
162,7,0.0544720529308122
163,2,0.0622537747780711
164,3,0.00778172184725889
165,7,0.07003549662533
166,3,0
167,9,0.0233451655417767
168,6,0.0933806621671067
169,2,0
170,3,0.0544720529308122
171,6,0.0496084767762754
172,1,0.0466903310835534
173,13,0.153169459047896
174,3,0.0417734888312444
175,1,0
176,9,0.0466903310835534
177,1,0
178,3,0
179,3,0
180,1,0
181,1,0
182,1,0
183,1,0
184,12,0.0690095152966505
185,8,0
186,6,0
187,4,0
188,13,0.0233451655417767
189,8,0
190,4,0
191,1,0.171197880639696
192,5,0
193,2,0
194,4,0
195,2,0
196,3,0
197,9,0
198,8,0
199,9,0.142989138943382
200,2,0.00680900661635153
201,5,0
202,2,0.0778172184725889
203,2,0
204,1,0
205,2,0
206,8,0
207,20,0.0233451655417767
208,5,0
209,1,0
210,3,0.00680900661635153
211,11,0.0680900661635153
212,2,0
213,9,0.272360264654061
214,1,0
215,2,0
216,5,0
217,3,0
218,5,0
219,9,0
220,1,0
221,3,0.0544720529308122
222,1,0
223,4,0.00778172184725889
224,2,0.0233451655417767
225,2,0
226,2,0.0155634436945178
227,4,0
228,11,0.0933806621671067
229,13,0
230,15,0.0233451655417767
231,1,0
232,2,0
233,2,0
234,8,0
235,1,0
236,4,0.0622537747780711
237,5,0.132289271403401
238,6,0
239,2,0
240,6,0
241,4,0
242,7,0
243,4,0.0311268873890356
244,1,0
245,1,0.07003549662533
246,6,0
247,8,0.00778172184725889
248,6,0
249,2,0
250,1,0
251,1,0
252,21,0.101162384014366
253,1,0.0544720529308122
254,10,0.171197880639696
255,3,0.171197880639696
256,1,0
257,3,0.00778172184725889
258,9,0.116725827708883
259,1,0
260,2,0
261,8,0.00778172184725889
262,7,0
263,6,0
264,1,0
265,2,0
266,1,0.00778172184725889
267,5,0
268,3,0
269,3,0
270,2,0
271,23,0.101162384014366
272,9,0
273,3,0
274,1,0
275,4,0.0155634436945178
276,4,0
277,12,0.249015099112285
278,26,0.342395761279391
279,31,0.116725827708883
280,28,0
281,1,0
282,7,0
283,2,0
284,1,0.108944105861624
285,12,0.241233377265026
286,13,0.0311268873890356
287,1,0.187827458218411
288,13,0.117285527699868
289,1,0
290,1,0.00778172184725889
291,18,0
292,9,0.0233451655417767
293,7,0
294,2,0
295,1,0
296,5,0.0155634436945178
297,1,0
298,3,0
299,2,0.0155634436945178
300,1,0
301,9,0.0155634436945178
302,2,0.0622537747780711
303,5,0
304,1,0
305,8,0
306,5,0
307,1,0
308,2,0
309,1,0.0466903310835534
310,3,0
311,11,0
312,9,0
313,1,0
314,1,0.171197880639696
315,1,0
316,1,0
317,11,0
318,1,0
319,5,0
320,1,0.00778172184725889
321,11,0
322,9,0
323,9,0
324,2,0
325,5,0.0155634436945178
326,1,0
327,9,0.07003549662533
328,13,0
329,2,0
330,3,0
331,1,0.0855989403198478
332,1,0
333,1,0
334,7,0.0155634436945178
335,1,0
336,1,0
337,1,0
338,10,0.0389086092362945
339,8,0
340,4,0
341,2,0.00778172184725889
342,7,0.07003549662533
343,8,0.0233451655417767
344,3,0
345,10,0
346,3,0
347,7,0
348,1,0.0764602914120418
349,1,0
350,5,0
351,6,0.00778172184725889
352,1,0
353,4,0
354,2,0
355,5,0.0696512847956903
356,2,0
357,5,0.0155634436945178
358,4,0
359,17,0.07003549662533
360,1,0
361,8,0.124507549556142
362,1,0
363,11,0.0204270198490546
364,1,0.0155634436945178
365,2,0.0466903310835534
366,3,0
367,1,0
368,5,0
369,9,0
370,6,0
371,1,0.0933806621671067
372,7,0
373,9,0.0145907284636104
374,7,0.0280166357814936
375,1,0.0145907284636104
376,1,0
377,3,0
378,1,0
379,1,0.0466903310835534
380,10,0.0155634436945178
381,1,0
382,1,0.0622537747780711
383,8,0
384,2,0
385,6,0
386,1,0
387,6,0.0155634436945178
388,2,0.0466903310835534
389,1,0.07003549662533
390,7,0
391,1,0
392,5,0
393,16,0.0778172184725889
394,1,0
395,20,0.07003549662533
396,5,0.0155634436945178
397,5,0
398,2,0
399,15,0.0622537747780711
400,11,0
401,5,0.0933806621671067
402,3,0
403,2,0
404,2,0
405,8,0
406,16,0
407,4,0
408,1,0
409,7,0
410,1,0
411,2,0.0233451655417767
412,9,0
413,7,0.00778172184725889
414,5,0
415,6,0.00778172184725889
416,9,0.0311268873890356
417,3,0
418,4,0
419,3,0.0466903310835534
420,1,0
421,2,0
422,1,0.0155634436945178
423,5,0.00778172184725889
424,1,0
425,2,0
426,2,0.0389086092362945
427,2,0
428,7,0
429,1,0
430,2,0
431,10,0
432,15,0
433,5,0.0280166357814936
434,2,0.319050595737615
435,1,0
436,1,0
437,1,0
438,9,0
439,1,0
440,9,0
441,4,0.0560332715629872
442,1,0.404649536057462
443,1,0.536938807460864
444,9,0
445,2,0.49024847637731
446,1,0.0466903310835534
447,1,0
448,8,0
449,9,0.42021297975198
450,1,0.591410860391676
451,2,0.163416158792437
452,1,0.14007099325066
453,2,0.0778172184725889
454,4,0
455,2,0.35017748312665
456,1,0.303487152043097
457,1,0.0778172184725889
458,2,0.101162384014366
459,1,0
460,1,0.101162384014366
461,3,0.108944105861624
462,2,0
463,6,0
464,1,0
465,3,0.0233451655417767
466,7,0.0155634436945178
467,1,0.0408540396981092
468,3,0
469,1,0
470,7,0
471,1,0
472,2,0
473,3,0
474,1,0
475,1,0.147852715097919
476,1,0
477,2,0.0778172184725889
478,1,0.194543046181472
479,12,0.178979602486955
480,9,0
481,1,0.0855989403198478
482,4,0
483,5,0
484,7,0
485,1,0
486,7,0
487,2,0
488,6,0
489,5,0
490,4,0
491,3,0
492,1,0.0301541721581282
493,4,0.0389086092362945
494,5,0
495,4,0
496,10,0.07003549662533
497,3,0.0233451655417767
498,4,0
499,2,0
500,2,0
501,1,0.0445527947069188
502,1,0
503,5,0
504,1,0
505,3,0.0280166357814936
506,2,0.0840499073444809
507,1,0
508,1,0
509,7,0
510,2,0
511,2,0.467912583036865
512,9,0
513,4,0.0280166357814936
514,2,0.174128211989226
515,3,0.171197880639696
516,1,0.0933806621671067
517,2,0.00583629138544417
518,2,0
519,3,0
520,4,0
521,3,0
522,4,0.147852715097919
523,2,0
524,5,0
525,36,0.326832317584873
526,3,0
527,6,0
528,1,0
529,1,0
530,1,0
531,9,0.0155634436945178
532,2,0
533,26,0.194543046181472
534,28,0.217888211723249
535,10,0
536,1,0
537,13,0
538,3,0
539,9,0
540,30,0.171197880639696
541,4,0
542,8,0
543,4,0.0272360264654061
544,6,0
545,1,0.0544720529308122
546,4,0.0389086092362945
547,5,0
548,5,0.00778172184725889
549,4,0.00778172184725889
550,3,0.00778172184725889
551,8,0.101162384014366
552,15,0.00778172184725889
553,5,0
554,3,0
555,4,0
556,3,0.0696512847956903
557,13,0.101162384014366
558,2,0.0233451655417767
559,2,0
560,3,0
561,11,0
562,1,0
563,12,0.00778172184725889
564,5,0
565,4,0.0680900661635153
566,5,0
567,5,0.0778172184725889
568,3,0.0155634436945178
569,1,0
570,12,0.0233451655417767
571,8,0
572,4,0
573,4,0.0885170860125699
574,1,0
575,5,0
576,12,0
577,3,0
578,3,0
579,3,0
