system:index,accuracy,numberOfTrees,variablesPerSplit,.geo
0,0.9678530424799081,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.9701492537313433,10.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.9758897818599311,10.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9678530424799081,10.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9735935706084959,10.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9724454649827784,10.0,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9758897818599311,10.0,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9735935706084959,10.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9724454649827784,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9701492537313433,10.0,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.9724454649827784,10.0,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.9747416762342136,10.0,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.9735935706084959,10.0,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9735935706084959,10.0,14.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.9770378874856487,10.0,15.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.9747416762342136,10.0,16.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.9793340987370838,10.0,17.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.9701492537313433,10.0,18.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.9690011481056258,20.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.9747416762342136,20.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.9735935706084959,20.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.983926521239954,20.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.9781859931113662,20.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.9804822043628014,20.0,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.9793340987370838,20.0,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.9758897818599311,20.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.9758897818599311,20.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.9735935706084959,20.0,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.9758897818599311,20.0,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.9758897818599311,20.0,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.9770378874856487,20.0,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.9770378874856487,20.0,14.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.9793340987370838,20.0,15.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.9781859931113662,20.0,16.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.9781859931113662,20.0,17.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.9758897818599311,20.0,18.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.9690011481056258,30.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.9735935706084959,30.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.9747416762342136,30.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.9781859931113662,30.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.9804822043628014,30.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.9781859931113662,30.0,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.9781859931113662,30.0,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.9804822043628014,30.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.9758897818599311,30.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.9781859931113662,30.0,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.981630309988519,30.0,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.981630309988519,30.0,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.9793340987370838,30.0,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.9781859931113662,30.0,14.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.9770378874856487,30.0,15.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.9781859931113662,30.0,16.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.9793340987370838,30.0,17.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
