system:index,accuracy,cost,kernelType,.geo
0,0.939150401836969,0.1,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.9437428243398392,0.2,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.947187141216992,0.30000000000000004,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9517795637198623,0.4,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9517795637198623,0.5,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9540757749712974,0.6,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9575200918484501,0.7000000000000001,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9575200918484501,0.8,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9586681974741676,0.9,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9609644087256027,1.0,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.9609644087256027,1.1,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.9609644087256027,1.2000000000000002,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.9621125143513203,1.3000000000000003,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9621125143513203,1.4000000000000001,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.9621125143513203,1.5000000000000002,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.9621125143513203,1.6,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.9621125143513203,1.7000000000000002,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.9621125143513203,1.8000000000000003,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.9632606199770379,1.9000000000000001,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.9621125143513203,2.0,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.9632606199770379,2.1,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.9632606199770379,2.2,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.9632606199770379,2.3000000000000003,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.9632606199770379,2.4000000000000004,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.9632606199770379,2.5000000000000004,LINEAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
